sor_id;navn;type;sygehus;shak;vej;postnr;by;region
484551000016005;Neuropsykologiafs. FS;Afsnit;Hospitalerne i Nordsjælland;;Frederikssundsvej 30;3600;Frederikssund;Hovedstaden
484561000016008;Neurorehab. tilsyn FS;Afsnit;Hospitalerne i Nordsjælland;;Frederikssundsvej 30;3600;Frederikssund;Hovedstaden
484571000016003;Neurorehab Fysioterapiafs. FS;Afsnit;Hospitalerne i Nordsjælland;;Frederikssundsvej 30;3600;Frederikssund;Hovedstaden
484581000016001;Neurorehab. Ergoterapiafs. FS;Afsnit;Hospitalerne i Nordsjælland;;Frederikssundsvej 30;3600;Frederikssund;Hovedstaden
484591000016004;Fysioterapiafs. FS;Afsnit;Hospitalerne i Nordsjælland;;Frederikssundsvej 30;3600;Frederikssund;Hovedstaden
484611000016005;SH Radiologisk Afd.;Afdeling;Hospitalerne i Nordsjælland;2000875;Birkedalsvej 35A;3000;Helsingør;Hovedstaden
484621000016001;Radiologisk afs.SH;Afsnit;Hospitalerne i Nordsjælland;;Birkedalsvej 35A;3000;Helsingør;Hovedstaden
484631000016004;SH Kl. Biokemisk Afd.;Afdeling;Hospitalerne i Nordsjælland;2000854;Birkedalsvej 35A;3000;Helsingør;Hovedstaden
484641000016006;Kl. Biokemisk afs. SH;Afsnit;Hospitalerne i Nordsjælland;;Birkedalsvej 35A;3000;Helsingør;Hovedstaden
484651000016009;Alb ATC Akutmodtagelse;Afsnit;Aalborg Universitetshospital;;Mølleparkvej 4;9000;Aalborg;Nordjylland
484681000016000;Alb Skadestue;Afsnit;Aalborg Universitetshospital;;Selma Lagerløfs Vej 347;9260;Gistrup;Nordjylland
484781000016006;Lunge- og Infmed. sengeafs. A5A6 FS;Afsnit;Hospitalerne i Nordsjælland;;Frederikssundsvej 30;3600;Frederikssund;Hovedstaden
484801000016007;Kardiologisk Sengeafs B1B2 FS;Afsnit;Hospitalerne i Nordsjælland;;Frederikssundsvej 30;3600;Frederikssund;Hovedstaden
484931000016005;SLA Idræts Amb.;Afdeling;Region Sjællands Sygehusvæsen;3800R5S;Fælledvej 7;4200;Slagelse;Sjælland
484941000016003;(Lukket) Diagnostisk Center Medicin (Lukket);Overafdeling;Hospitalsenhed Midt;663030;Falkevej 1A;8600;Silkeborg;Midtjylland
484951000016000;(Lukket) Diagnostisk Center Røntgen og Skanning (Lukket);Overafdeling;Hospitalsenhed Midt;663039;Falkevej 1A;8600;Silkeborg;Midtjylland
484961000016002;Center for Planlagt Kirurgi Ortopædkirurgi;Overafdeling;Hospitalsenhed Midt;663032;Falkevej 1A;8600;Silkeborg;Midtjylland
484971000016007;Center for Planlagt Kirurgi Operation og Bedøvelse;Overafdeling;Hospitalsenhed Midt;663033;Falkevej 1A;8600;Silkeborg;Midtjylland
484981000016009;Hammel Neurocenter;Overafdeling;Hospitalsenhed Midt;663040;Voldbyvej 15;8450;Hammel;Midtjylland
484991000016006;(Lukket) Medicinsk Afsnit Silkeborg (Lukket);Afdeling;Hospitalsenhed Midt;6630301;Falkevej 1A;8600;Silkeborg;Midtjylland
485001000016001;(Lukket)Diagnostisk Center Medicin Silkeborg;Afdeling;Hospitalsenhed Midt;6630309;Falkevej 1A;8600;Silkeborg;Midtjylland
485011000016004;(Lukket)Hjertemedicinsk Klinik Silkeborg;Afdeling;Hospitalsenhed Midt;663030A;Falkevej 1A;8600;Silkeborg;Midtjylland
485021000016008;(Lukket)Nyreklinik Silkeborg (Lukket);Afdeling;Hospitalsenhed Midt;663030B;Falkevej 1A;8600;Silkeborg;Midtjylland
485031000016005;(Lukket)Klinik for Mave- og Tarmsygdomme Silkeborg (Lukket);Afdeling;Hospitalsenhed Midt;663030D;Falkevej 1A;8600;Silkeborg;Midtjylland
485041000016003;(Lukket)Klinik for Infektionsygdomme Silkeborg (Lukket);Afdeling;Hospitalsenhed Midt;663030E;Falkevej 1A;8600;Silkeborg;Midtjylland
