sor_id;navn;type;sygehus;shak;vej;postnr;by;region
489991000016005;Sct. Hans, Konsulenttjeneste og ECT, afd. R;Afsnit;Region Hovedstadens Psykiatri;;Tofteparken 13;4000;Roskilde;Sjælland
490251000016002;SLB Graviditet Senge (Kolding);Afsnit;Sygehus Lillebælt;;Sygehusvej 24;6000;Kolding;Syddanmark
490261000016004;PSY E (Esbjerg);Afsnit;Psykiatrien Region Syddanmark;;Gl Vardevej 101;6715;Esbjerg N;Syddanmark
490271000016009;PSY D (Esbjerg);Afsnit;Psykiatrien Region Syddanmark;;Gl Vardevej 101;6715;Esbjerg N;Syddanmark
490291000016008;PSY B (Esbjerg);Afsnit;Psykiatrien Region Syddanmark;;Gl Vardevej 101;6715;Esbjerg N;Syddanmark
490451000016003;PSY U1 (Esbjerg);Afsnit;Psykiatrien Region Syddanmark;;Gl Vardevej 101;6715;Esbjerg N;Syddanmark
490571000016006;Sundhedsfremme og Forebyggelse;sundhedscenter;Velfærdsforvaltningen;;Torvet 1;4600;Køge;Sjælland
490681000016009;Sct. Hans, Psyk. afd. R's OP-team;Afsnit;Region Hovedstadens Psykiatri;;Carl Nielsens Allé 9;2100;København Ø;Hovedstaden
490741000016009;Sundhedsplejen, Hvidovre Kommune;sundhedsplejen;Børn og Familier;;Hvidovrevej 274;2650;Hvidovre;Hovedstaden
490771000016000;SLB Fysioterapi (Kolding);Afsnit;Sygehus Lillebælt;;Sygehusvej 24;6000;Kolding;Syddanmark
490861000016003;Voksenhandicap og -psykiatri;handicap- og psykiatrienhed;Velfærdsforvaltningen;;Torvet 1;4600;Køge;Sjælland
490901000016008;Sundhedstjenesten;sundhedsplejen;Børne- og Uddannelsesforvaltningen;;Torvet 1;4600;Køge;Sjælland
491001000016004;PSY Neuroteam (Esbjerg);Afsnit;Psykiatrien Region Syddanmark;;Gl Vardevej 101;6715;Esbjerg N;Syddanmark
491031000016008;PSY Affektiv Team BUP (Esbjerg);Afsnit;Psykiatrien Region Syddanmark;;Gl Vardevej 101;6715;Esbjerg N;Syddanmark
